election,election_date,locality,precinct,Early Voting,Election Day,Mailed Absentee,Provisional,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,409 - CLARKES GAP,920,986,250,12,24,2192,3359,160,3519
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,411 - EAST LOVETTSVILLE,463,1038,182,16,9,1708,2495,127,2622
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,413 - TUSCARORA,463,416,154,5,8,1046,1594,83,1677
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,416 - HAMILTON,684,950,189,14,21,1858,2690,111,2801
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,421 - BETWEEN THE HILLS,46,185,20,2,1,254,380,29,409
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,423 - SIMPSON,213,169,56,5,3,446,728,44,772
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,424 - PURCELLVILLE,1119,1007,231,23,20,2400,3467,175,3642
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,425 - ROUND HILL,706,1150,155,24,22,2057,2973,145,3118
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,426 - HILLSBORO,680,916,225,13,27,1861,2764,160,2924
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,427 - PHILOMONT,612,913,156,15,13,1709,2403,113,2516
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,428 - MOUNTAIN VIEW,951,1260,227,48,26,2512,4004,214,4218
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,429 - ROUND HILL ELEMENTARY,751,1407,212,19,21,2410,3689,151,3840
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,430 - HARMONY,387,459,111,9,12,978,1422,56,1478
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,501 - WEST LEESBURG,708,933,196,10,18,1865,2915,177,3092
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,502 - EAST LEESBURG,573,962,209,17,27,1788,3622,312,3934
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,503 - DRY MILL,419,669,118,13,16,1235,1815,87,1902
