election,election_date,locality,precinct,Early Voting,Election Day,Mailed Absentee,Provisional,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters
2025 November General,11/4/2025 0:00,CARROLL COUNTY,101 - MT BETHEL,68,301,31,2,,402,978,30,1008
2025 November General,11/4/2025 0:00,CARROLL COUNTY,102 - ST PAUL,107,477,43,5,2,634,1326,31,1357
2025 November General,11/4/2025 0:00,CARROLL COUNTY,103 - LAMBSBURG,52,289,13,,,354,837,27,864
2025 November General,11/4/2025 0:00,CARROLL COUNTY,105 - FANCY GAP,265,389,40,3,3,700,1241,42,1283
2025 November General,11/4/2025 0:00,CARROLL COUNTY,201 - HILLSVILLE B,468,701,125,3,6,1303,2424,69,2493
2025 November General,11/4/2025 0:00,CARROLL COUNTY,202 - LAUREL FORK,105,375,34,5,1,520,893,21,914
2025 November General,11/4/2025 0:00,CARROLL COUNTY,203 - GLADESBORO,175,464,41,2,2,684,1202,37,1239
2025 November General,11/4/2025 0:00,CARROLL COUNTY,301 - HILLSVILLE C,468,840,86,12,4,1410,2704,79,2783
2025 November General,11/4/2025 0:00,CARROLL COUNTY,302 - SYLVATUS,137,371,17,3,6,534,975,24,999
2025 November General,11/4/2025 0:00,CARROLL COUNTY,303 - DUGSPUR,69,218,15,1,,303,529,16,545
2025 November General,11/4/2025 0:00,CARROLL COUNTY,401 - OAKLAND,191,768,58,4,,1021,1990,41,2031
2025 November General,11/4/2025 0:00,CARROLL COUNTY,402 - WOODLAWN D,400,661,97,4,5,1167,2288,70,2358
2025 November General,11/4/2025 0:00,CARROLL COUNTY,501 - VAUGHAN,57,285,6,1,2,351,677,19,696
2025 November General,11/4/2025 0:00,CARROLL COUNTY,502 - GLADEVILLE,242,679,48,3,1,973,1769,48,1817
2025 November General,11/4/2025 0:00,CARROLL COUNTY,503 - WOODLAWN E,148,321,32,,1,502,897,23,920
2025 November General,11/4/2025 0:00,CARROLL COUNTY,504 - LAUREL,104,392,32,2,1,531,999,31,1030
2025 November General,11/4/2025 0:00,CHARLES CITY COUNTY,101 - PRECINCT 1-1,396,672,103,10,2,1183,2003,46,2049
2025 November General,11/4/2025 0:00,CHARLES CITY COUNTY,201 - PRECINCT 2-1,437,543,104,15,2,1101,1869,33,1902
2025 November General,11/4/2025 0:00,CHARLES CITY COUNTY,301 - PRECINCT 3-1,576,480,146,12,4,1218,1906,41,1947
2025 November General,11/4/2025 0:00,CHARLOTTE COUNTY,101 - COUNTY SEAT,331,397,26,7,4,765,1275,54,1329
2025 November General,11/4/2025 0:00,CHARLOTTE COUNTY,201 - RED OAK WYLLIESBURG,131,537,37,2,2,709,1243,29,1272
2025 November General,11/4/2025 0:00,CHARLOTTE COUNTY,302 - DRAKES BRANCH,189,378,19,1,3,590,1022,61,1083
2025 November General,11/4/2025 0:00,CHARLOTTE COUNTY,401 - KEYSVILLE,175,441,20,3,,639,1132,42,1174
2025 November General,11/4/2025 0:00,CHARLOTTE COUNTY,501 - CULLEN/RED HOUSE,229,372,28,1,2,632,1149,35,1184
2025 November General,11/4/2025 0:00,CHARLOTTE COUNTY,602 - PHENIX,216,524,20,3,3,766,1225,57,1282
2025 November General,11/4/2025 0:00,CHARLOTTE COUNTY,702 - BACON/SAXE,258,324,49,,1,632,1185,45,1230
2025 November General,11/4/2025 0:00,CHARLOTTESVILLE CITY,101 - Key Recreation,1363,1138,291,49,20,2861,4338,299,4637
2025 November General,11/4/2025 0:00,CHARLOTTESVILLE CITY,102 - SUMMIT,920,1229,180,35,11,2375,4045,222,4267
2025 November General,11/4/2025 0:00,CHARLOTTESVILLE CITY,201 - CARVER,482,887,153,121,17,1660,3294,244,3538
2025 November General,11/4/2025 0:00,CHARLOTTESVILLE CITY,202 - TRAILBLAZER,222,888,78,439,8,1635,4243,272,4515
2025 November General,11/4/2025 0:00,CHARLOTTESVILLE CITY,301 - JACKSON-VIA,755,1190,243,47,15,2250,3776,272,4048
2025 November General,11/4/2025 0:00,CHARLOTTESVILLE CITY,302 - JOHNSON,419,1083,139,370,29,2040,3657,291,3948
2025 November General,11/4/2025 0:00,CHARLOTTESVILLE CITY,303 - BUFORD,494,822,136,142,19,1613,3340,282,3622
2025 November General,11/4/2025 0:00,CHARLOTTESVILLE CITY,401 - CHARLOTTESVILLE HIGH SCHOOL,1070,1299,351,19,18,2757,3825,150,3975
2025 November General,11/4/2025 0:00,CHARLOTTESVILLE CITY,402 - WALKER,610,917,198,58,17,1800,3090,219,3309
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,001 - GREAT BRIDGE,801,708,114,12,12,1647,2886,119,3005
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,002 - BETHEL,583,970,113,8,8,1682,2912,129,3041
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,003 - CAMELOT,386,676,182,13,14,1271,2482,104,2586
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,004 - CHURCHLAND,705,768,197,11,19,1700,2625,98,2723
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,005 - CRESTWOOD,384,806,126,16,13,1345,2685,115,2800
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,006 - DEEP CREEK,592,738,144,20,13,1507,2663,138,2801
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,007 - GREENBRIER,598,855,141,10,11,1615,2664,98,2762
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,008 - SOUTH NORFOLK RECREATION,401,1096,129,20,15,1661,3548,193,3741
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,009 - BELLS MILL,975,1178,179,18,19,2369,4095,165,4260
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,010 - OSCAR SMITH,174,495,51,7,12,739,1622,88,1710
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,011 - GENEVA PARK,261,627,57,20,12,977,2691,194,2885
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,012 - GEORGETOWN,539,664,126,13,14,1356,2415,80,2495
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,013 - GILMERTON,432,817,111,14,8,1382,2542,107,2649
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,014 - GRASSFIELD,1479,800,340,26,28,2673,4416,188,4604
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,015 - GREENBRIER MIDDLE SCHOOL,584,988,171,33,18,1794,3866,287,4153
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,016 - HICKORY GROVE,591,1083,135,21,21,1851,3093,110,3203
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,017 - INDIAN CREEK,382,890,76,8,13,1369,2262,78,2340
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,018 - INDIAN RIVER,361,707,97,18,14,1197,2730,156,2886
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,019 - JOLLIFF,426,630,113,9,8,1186,1833,58,1891
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,020 - E W CHITTUM,773,987,177,16,31,1984,2986,76,3062
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,021 - FELLOWSHIP,693,980,176,18,14,1881,3227,129,3356
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,022 - NORFOLK HIGHLANDS,283,560,53,6,9,911,2067,119,2186
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,023 - OAK GROVE,659,874,202,19,21,1775,3211,179,3390
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,024 - OAKLETTE,333,734,119,17,22,1225,3022,192,3214
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,025 - ST JULIANS,353,750,84,13,6,1206,2591,145,2736
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,026 - JOHNSON PARK,100,454,40,5,2,601,1591,191,1782
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,027 - SILVERWOOD,567,805,180,20,23,1595,2747,134,2881
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,028 - SUNRAY I,56,241,20,,2,319,547,37,584
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,029 - TANGLEWOOD,446,709,77,14,11,1257,2379,95,2474
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,030 - SOUTH NORFOLK,146,390,59,13,9,617,1488,94,1582
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,031 - CARVER SCHOOL,422,758,162,23,12,1377,3667,215,3882
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,032 - PROVIDENCE,567,821,200,40,24,1652,3934,234,4168
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,033 - WESTOVER,171,554,59,14,6,804,1746,104,1850
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,034 - HICKORY MIDDLE SCHOOL,972,1111,213,12,19,2327,3907,187,4094
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,035 - TAYLOR ROAD,306,544,133,16,10,1009,2094,129,2223
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,036 - GREAT BRIDGE BAPTIST CHURCH,570,895,135,11,13,1624,2950,137,3087
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,037 - BRIDGETOWN,949,907,145,8,16,2025,3245,136,3381
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,038 - BAILEY CREEK,580,792,133,8,21,1534,2422,64,2486
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,039 - LAKE DRUMMOND,474,682,113,14,16,1299,2360,87,2447
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,041 - JOHN T WEST,1029,1432,227,29,35,2752,4691,201,4892
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,042 - PARKWAYS,588,703,167,11,30,1499,2776,119,2895
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,043 - PLEASANT CROSSING,674,835,100,11,11,1631,2608,65,2673
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,044 - NANSEMOND,488,871,142,19,23,1543,2659,143,2802
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,045 - SUNRAY II,123,242,35,5,2,407,804,46,850
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,046 - BELLS MILL II,613,839,94,16,19,1581,2592,106,2698
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,048 - JOLLIFF MIDDLE SCHOOL,620,1076,218,18,25,1957,3918,201,4119
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,049 - WATERWAY,668,962,190,24,23,1867,3111,120,3231
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,050 - RIVER WALK,561,933,160,10,12,1676,2931,116,3047
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,051 - COOPERS WAY,1040,1460,221,35,23,2779,4816,214,5030
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,052 - SHIPYARD ROAD,597,826,165,11,24,1623,2832,105,2937
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,053 - FAIRWAYS,703,686,242,17,32,1680,2775,117,2892
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,054 - PUGHSVILLE,570,736,146,23,30,1505,2889,135,3024
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,055 - GEORGETOWN EAST,513,513,100,5,13,1144,1818,65,1883
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,056 - GREEN TREE,509,667,146,22,42,1386,2607,175,2782
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,057 - CYPRESS,440,797,131,19,25,1412,2968,264,3232
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,058 - EXPRESSWAY,186,341,52,3,5,587,1151,55,1206
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,059 - CLEARFIELD,543,896,145,24,12,1620,2652,101,2753
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,060 - PARKER ROAD,870,765,164,12,17,1828,2984,93,3077
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,061 - CENTERVILLE,890,1157,161,8,13,2229,3538,119,3657
2025 November General,11/4/2025 0:00,CHESAPEAKE CITY,062 - FENTRESS,503,1065,118,10,20,1716,2784,97,2881
