"election","election_date","locality","precinct","district","district_type","provisional_ballots","absentee_ballots","in_person_ballots","in_person_curbside_ballots","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2021 November General ","2021-11-02 00:00:00","MARTINSVILLE CITY","##PE - Central Absentee Precinct","09","Congressional","0","10","0","0","10","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MARTINSVILLE CITY","001 - PRECINCT #1","09","Congressional","0","0","259","21","259","859","38","897"
"2021 November General ","2021-11-02 00:00:00","MARTINSVILLE CITY","002 - PRECINCT #2","09","Congressional","0","0","577","12","577","1822","108","1930"
"2021 November General ","2021-11-02 00:00:00","MARTINSVILLE CITY","003 - PRECINCT #3","09","Congressional","0","0","298","7","298","1225","100","1325"
"2021 November General ","2021-11-02 00:00:00","MARTINSVILLE CITY","004 - PRECINCT #4","09","Congressional","0","0","581","16","581","1894","119","2013"
"2021 November General ","2021-11-02 00:00:00","MARTINSVILLE CITY","005 - PRECINCT #5","09","Congressional","0","0","896","24","896","2131","101","2232"
"2021 November General ","2021-11-02 00:00:00","MARTINSVILLE CITY","006 - PRECINCT #6","09","Congressional","0","0","145","2","145","419","27","446"
"2021 November General ","2021-11-02 00:00:00","MATHEWS COUNTY","##AB - Central Absentee Precinct","00","Local","0","222","0","0","222","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MATHEWS COUNTY","##AB - Central Absentee Precinct","01","Congressional","0","222","0","0","222","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MATHEWS COUNTY","##EV - Central Absentee Precinct","00","Local","0","2280","0","0","2280","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MATHEWS COUNTY","##EV - Central Absentee Precinct","00","Local","0","2280","0","55","2280","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MATHEWS COUNTY","##EV - Central Absentee Precinct","01","Congressional","0","2280","0","0","2280","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MATHEWS COUNTY","##PE - Central Absentee Precinct","00","Local","0","7","0","0","7","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MATHEWS COUNTY","##PE - Central Absentee Precinct","01","Congressional","0","7","0","0","7","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MATHEWS COUNTY","001 - CHESAPEAKE","01","Congressional","2","0","575","6","577","1580","72","1652"
"2021 November General ","2021-11-02 00:00:00","MATHEWS COUNTY","002 - WESTVILLE","01","Congressional","1","0","879","3","880","2447","108","2555"
"2021 November General ","2021-11-02 00:00:00","MATHEWS COUNTY","003 - PIANKATANK","01","Congressional","3","0","942","15","945","2891","112","3003"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","##AB - Central Absentee Precinct","00","Local","0","833","0","0","833","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","##AB - Central Absentee Precinct","05","Congressional","0","833","0","0","833","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","##EV - Central Absentee Precinct","00","Local","0","2598","0","0","2598","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","##EV - Central Absentee Precinct","05","Congressional","0","2598","0","0","2598","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","##PE - Central Absentee Precinct","00","Local","0","21","0","0","21","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","##PE - Central Absentee Precinct","05","Congressional","0","21","0","0","21","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","101 - WRIGHTS STORE","05","Congressional","3","0","374","2","377","772","22","794"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","102 - PEARSONS STORE","05","Congressional","2","0","150","1","152","289","7","296"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","103 - SOUTH CLARKSVILLE","05","Congressional","3","0","511","2","514","1397","42","1439"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","201 - BOYDTON","05","Congressional","1","0","266","2","267","763","17","780"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","202 - BLUESTONE SENIOR HIGH SCHOOL","05","Congressional","0","0","117","1","117","348","6","354"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","203 - CHASE CITY VFW POST","05","Congressional","0","0","191","4","191","656","30","686"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","301 - BRACEY","05","Congressional","3","0","724","5","727","1560","62","1622"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","302 - LACROSSE","05","Congressional","0","0","435","2","435","1043","25","1068"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","401 - AMERICAN LEGION HALL","05","Congressional","6","0","728","9","734","2266","85","2351"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","402 - PARK VIEW MIDDLE SCHOOL","05","Congressional","2","0","146","0","148","280","3","283"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","501 - SOUTH HILL","05","Congressional","2","0","869","5","871","2544","96","2640"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","601 - BASKERVILLE","05","Congressional","3","0","369","0","372","1037","57","1094"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","602 - UNION LEVEL","05","Congressional","0","0","251","4","251","548","21","569"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","603 - SMITH CROSSROADS","05","Congressional","0","0","199","0","199","374","9","383"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","604 - LAKE GASTON","05","Congressional","0","0","254","3","254","654","35","689"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","701 - CHASE CITY","05","Congressional","3","0","424","0","427","1161","30","1191"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","702 - SUNSHINE","05","Congressional","0","0","392","1","392","879","26","905"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","801 - FINCHLEY","05","Congressional","0","0","151","3","151","367","8","375"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","802 - BLUESTONE","05","Congressional","4","0","407","0","411","1180","49","1229"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","803 - CHASE CITY ELEMENTARY SCHOOL","05","Congressional","0","0","338","3","338","818","20","838"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","901 - AVERETT","05","Congressional","0","0","157","0","157","291","5","296"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","902 - BUFFALO SPRINGS","05","Congressional","0","0","281","1","281","525","10","535"
"2021 November General ","2021-11-02 00:00:00","MECKLENBURG COUNTY","903 - CLARKSVILLE","05","Congressional","2","0","860","1","862","1988","77","2065"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","##AB - Central Absentee Precinct","00","Local","0","295","0","0","295","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","##AB - Central Absentee Precinct","01","Congressional","0","295","0","0","295","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","##EV - Central Absentee Precinct","00","Local","0","1502","0","85","1502","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","##EV - Central Absentee Precinct","01","Congressional","0","1502","0","85","1502","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","##PE - Central Absentee Precinct","00","Local","0","8","0","0","8","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","##PE - Central Absentee Precinct","01","Congressional","0","8","0","0","8","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","101 - SALUDA","01","Congressional","0","0","220","10","220","597","23","620"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","102 - URBANNA","01","Congressional","0","0","488","14","488","936","43","979"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","201 - NEW MARKET","01","Congressional","0","0","958","4","958","1857","40","1897"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","302 - CHURCH VIEW","01","Congressional","0","0","689","8","689","1575","33","1608"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","401- HARMONY VILLAGE","01","Congressional","1","0","626","7","627","1587","57","1644"
"2021 November General ","2021-11-02 00:00:00","MIDDLESEX COUNTY","501 - WILTON","01","Congressional","0","0","844","12","844","1810","46","1856"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##AB - Central Absentee Precinct","00","Local","0","455","0","3","455","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##AB - Central Absentee Precinct","00","Local","0","1018","0","4","1018","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##AB - Central Absentee Precinct","00","Local","0","1331","0","6","1331","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##AB - Central Absentee Precinct","00","Local","0","2804","0","0","2804","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##AB - Central Absentee Precinct","09","Congressional","0","2804","0","0","2804","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##EV - Central Absentee Precinct","00","Local","0","1828","0","16","1828","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##EV - Central Absentee Precinct","00","Local","0","3381","0","11","3381","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##EV - Central Absentee Precinct","00","Local","0","3469","0","17","3469","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##EV - Central Absentee Precinct","00","Local","0","8678","0","0","8678","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##EV - Central Absentee Precinct","09","Congressional","0","8678","0","0","8678","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##PE - Central Absentee Precinct","00","Local","0","13","0","0","13","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##PE - Central Absentee Precinct","00","Local","0","38","0","0","38","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##PE - Central Absentee Precinct","00","Local","0","58","0","0","58","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##PE - Central Absentee Precinct","00","Local","0","109","0","0","109","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","##PE - Central Absentee Precinct","09","Congressional","0","109","0","0","109","0","0","0"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","101 - PRECINCT A-1","09","Congressional","2","0","225","3","227","2663","130","2793"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","101 - PRECINCT A-1","09","Congressional","2","0","960","4","962","2663","130","2793"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","102 - PRECINCT A-2","09","Congressional","3","0","704","2","707","2413","280","2693"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","103 - PRECINCT A-3","09","Congressional","1","0","0","0","1","3619","259","3878"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","103 - PRECINCT A-3","09","Congressional","1","0","1197","7","1198","3619","259","3878"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","201 - PRECINCT B-1","09","Congressional","0","0","2","0","2","404","23","427"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","201 - PRECINCT B-1","09","Congressional","0","0","169","0","169","404","23","427"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","202 - PRECINCT B-2","09","Congressional","2","0","4","0","6","3632","239","3871"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","202 - PRECINCT B-2","09","Congressional","2","0","1201","24","1203","3632","239","3871"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","203 - PRECINCT B-3","09","Congressional","1","0","14","0","15","2273","146","2419"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","203 - PRECINCT B-3","09","Congressional","1","0","969","9","970","2273","146","2419"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","204 - PRECINCT B-4","09","Congressional","5","0","1587","6","1592","3792","259","4051"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","301 - PRECINCT C-1","09","Congressional","0","0","53","0","53","2798","111","2909"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","301 - PRECINCT C-1","09","Congressional","0","0","1134","13","1134","2798","111","2909"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","302 - PRECINCT C-2","09","Congressional","1","0","1041","5","1042","2456","78","2534"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","303 - PRECINCT C-3","09","Congressional","0","0","518","3","518","890","22","912"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","304 - PRECINCT C-4","09","Congressional","1","0","105","0","106","2879","178","3057"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","304 - PRECINCT C-4","09","Congressional","1","0","965","9","966","2879","178","3057"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","401 - PRECINCT D-1","09","Congressional","0","0","677","12","677","1498","75","1573"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","402 - PRECINCT D-2","09","Congressional","2","0","1188","7","1190","2304","34","2338"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","403 - PRECINCT D-3","09","Congressional","0","0","2","0","2","2134","71","2205"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","403 - PRECINCT D-3","09","Congressional","0","0","966","9","966","2134","71","2205"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","404 - PRECINCT D-4","09","Congressional","2","0","602","4","604","1079","8","1087"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","405 - PRECINCT D-5","09","Congressional","3","0","1104","7","1107","2854","180","3034"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","501 - PRECINCT E-1","09","Congressional","6","0","5","0","11","3371","253","3624"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","501 - PRECINCT E-1","09","Congressional","6","0","1002","8","1008","3371","253","3624"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","502 - PRECINCT E-2","09","Congressional","0","0","297","0","297","1809","58","1867"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","502 - PRECINCT E-2","09","Congressional","0","0","591","4","591","1809","58","1867"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","503 - PRECINCT E-3","09","Congressional","0","0","26","0","26","923","377","1300"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","503 - PRECINCT E-3","09","Congressional","0","0","230","0","230","923","377","1300"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","601 - PRECINCT F-1","09","Congressional","3","0","926","4","929","3063","279","3342"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","602 - PRECINCT F-2","09","Congressional","2","0","4","0","6","2883","359","3242"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","602 - PRECINCT F-2","09","Congressional","2","0","913","2","915","2883","359","3242"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","603 - PRECINCT F-3","09","Congressional","0","0","98","0","98","671","164","835"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","701 - PRECINCT G-1","09","Congressional","2","0","39","0","41","3765","291","4056"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","701 - PRECINCT G-1","09","Congressional","2","0","1153","2","1155","3765","291","4056"
"2021 November General ","2021-11-02 00:00:00","MONTGOMERY COUNTY","702 - PRECINCT G-2","09","Congressional","5","0","541","1","546","2544","344","2888"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##AB - Central Absentee Precinct","00","Local","0","198","0","0","198","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##AB - Central Absentee Precinct","00","Local","0","345","0","0","345","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##AB - Central Absentee Precinct","00","Local","0","543","0","0","543","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##AB - Central Absentee Precinct","05","Congressional","0","543","0","0","543","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##EV - Central Absentee Precinct","00","Local","0","904","0","8","904","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##EV - Central Absentee Precinct","00","Local","0","955","0","7","955","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##EV - Central Absentee Precinct","00","Local","0","1859","0","15","1859","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##EV - Central Absentee Precinct","05","Congressional","0","1859","0","15","1859","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##PE - Central Absentee Precinct","00","Local","0","6","0","0","6","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##PE - Central Absentee Precinct","00","Local","0","16","0","0","16","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##PE - Central Absentee Precinct","00","Local","0","22","0","0","22","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","##PE - Central Absentee Precinct","05","Congressional","0","22","0","0","22","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","101 - ROCKFISH","05","Congressional","2","0","1220","11","1222","2194","62","2256"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","201 - LOVINGSTON","05","Congressional","0","0","543","5","543","1363","28","1391"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","202 - SCHUYLER","05","Congressional","0","0","396","0","396","796","17","813"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","301 - SHIPMAN","05","Congressional","1","0","673","0","674","1798","48","1846"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","302 - GLADSTONE","05","Congressional","0","0","159","7","159","311","6","317"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","401 - ROSELAND","05","Congressional","1","0","837","6","838","1927","50","1977"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","402 - MONTEBELLO","05","Congressional","0","0","116","0","116","178","6","184"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","501 - FABER","05","Congressional","0","0","369","0","369","843","30","873"
"2021 November General ","2021-11-02 00:00:00","NELSON COUNTY","502 - NELLYSFORD","05","Congressional","0","0","967","4","967","2055","61","2116"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","##AB - Central Absentee Precinct","00","Local","0","730","0","0","730","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","##AB - Central Absentee Precinct","01","Congressional","0","730","0","0","730","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","##EV - Central Absentee Precinct","00","Local","0","2296","0","0","2296","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","##EV - Central Absentee Precinct","01","Congressional","0","2296","0","0","2296","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","##PE - Central Absentee Precinct","00","Local","0","15","0","0","15","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","##PE - Central Absentee Precinct","01","Congressional","0","15","0","0","15","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","102 - TUNSTALL","01","Congressional","1","0","465","0","466","810","25","835"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","103 - SOUTHERN BRANCH","01","Congressional","2","0","1348","0","1350","2520","38","2558"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","201 - QUINTON","01","Congressional","3","0","1230","0","1233","2306","62","2368"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","202 - KENTWOOD","01","Congressional","1","0","865","0","866","1503","29","1532"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","301 - WATKINS","01","Congressional","3","0","883","0","886","1841","26","1867"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","302 - CUMBERLAND","01","Congressional","2","0","956","0","958","1955","41","1996"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","401 - PROVIDENCE FORGE","01","Congressional","6","0","1180","0","1186","2523","80","2603"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","403 - MOUNTCASTLE","01","Congressional","3","0","492","0","495","1016","35","1051"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","501 - ELTHAM","01","Congressional","1","0","645","0","646","1338","39","1377"
"2021 November General ","2021-11-02 00:00:00","NEW KENT COUNTY","502 - CHICKAHOMINY RIVER","01","Congressional","3","0","955","0","958","1802","40","1842"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##AB - Central Absentee Precinct","00","Local","0","11","0","0","11","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##AB - Central Absentee Precinct","00","Local","0","865","0","0","865","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##AB - Central Absentee Precinct","00","Local","0","2149","0","0","2149","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##AB - Central Absentee Precinct","00","Local","0","2164","0","0","2164","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##AB - Central Absentee Precinct","00","Local","0","5189","0","0","5189","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##AB - Central Absentee Precinct","02","Congressional","0","35","0","0","35","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##AB - Central Absentee Precinct","03","Congressional","1","5154","0","0","5155","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##EV - Central Absentee Precinct","00","Local","0","7","0","2","7","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##EV - Central Absentee Precinct","00","Local","0","1693","0","8","1693","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##EV - Central Absentee Precinct","00","Local","0","4615","0","76","4615","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##EV - Central Absentee Precinct","00","Local","0","4742","0","35","4742","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##EV - Central Absentee Precinct","00","Local","0","11057","0","121","11057","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##EV - Central Absentee Precinct","02","Congressional","0","79","0","0","79","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##EV - Central Absentee Precinct","03","Congressional","0","10978","0","121","10978","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##PE - Central Absentee Precinct","00","Local","0","0","0","0","0","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##PE - Central Absentee Precinct","00","Local","0","28","0","0","28","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##PE - Central Absentee Precinct","00","Local","0","59","0","0","59","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##PE - Central Absentee Precinct","00","Local","0","62","0","0","62","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##PE - Central Absentee Precinct","00","Local","0","149","0","0","149","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##PE - Central Absentee Precinct","02","Congressional","0","0","0","0","0","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","##PE - Central Absentee Precinct","03","Congressional","0","149","0","0","149","0","0","0"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","101 - DENBIGH","03","Congressional","0","0","1266","12","1266","4245","378","4623"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","102 - STONEY RUN","03","Congressional","8","0","1270","16","1278","4536","565","5101"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","103 - JENKINS","03","Congressional","1","0","1246","21","1247","3926","616","4542"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","104 - MCINTOSH","03","Congressional","2","0","220","0","222","2883","353","3236"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","104 - MCINTOSH","03","Congressional","2","0","689","11","691","2883","353","3236"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","105 - OYSTER POINT","03","Congressional","1","0","298","0","299","978","79","1057"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","106 - RESERVOIR","03","Congressional","8","0","1380","19","1388","4968","560","5528"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","107 - RICHNECK","03","Congressional","6","0","1402","5","1408","4119","202","4321"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","108 - KATHERINE JOHNSON","03","Congressional","10","0","334","0","344","3565","557","4122"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","108 - KATHERINE JOHNSON","03","Congressional","10","0","688","6","698","3565","557","4122"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","109 - WINDSOR","03","Congressional","2","0","780","0","782","2101","268","2369"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","110 - GREENWOOD","03","Congressional","6","0","1172","6","1178","3896","303","4199"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","201 - BLAND","03","Congressional","0","0","209","0","209","891","189","1080"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","202 - BOULEVARD","03","Congressional","5","0","1121","9","1126","2685","218","2903"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","203 - CHARLES","03","Congressional","3","0","1767","0","1770","4096","202","4298"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","204 - MARINERS' MUSEUM","03","Congressional","1","0","570","9","571","1798","272","2070"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","205 - DEEP CREEK","03","Congressional","0","0","1519","5","1519","2962","135","3097"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","208 - HIDENWOOD","03","Congressional","0","0","862","5","862","1690","68","1758"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","209 - HILTON","03","Congressional","2","0","1135","3","1137","2299","132","2431"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","210 - KNOLLWOOD MEADOWS","03","Congressional","4","0","1832","12","1836","4096","177","4273"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","211 - PALMER","02","Congressional","2","0","88","0","90","3625","371","3996"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","211 - PALMER","03","Congressional","2","0","977","9","979","3625","371","3996"
"2021 November General ","2021-11-02 00:00:00","NEWPORT NEWS CITY","212 - RIVERSIDE","03","Congressional","0","0","814","5","814","1433","68","1501"
